Date,Type,Niveau,SurfacePermis,SurfaceChantiers
2023-08-01,Hôtels,Sous-destination,109779,36484
2023-08-01,Industrie,Sous-destination,334434,193252
2023-09-01,Commerce et services,Destination,585159,289024
2023-09-01,Exploitation agricole ou forestière,Destination,701463,302209
2023-09-01,"Industrie, entrepôts et bureaux",Destination,1381693,899481
2023-09-01,Équipements publics,Destination,483308,287707
2023-09-01,Bureaux,Sous-destination,323446,221786
2023-09-01,Entrepôts,Sous-destination,723492,383677
2023-09-01,Hôtels,Sous-destination,117755,72464
2023-09-01,Industrie,Sous-destination,330185,283293
2023-10-01,Commerce et services,Destination,549729,308889
2023-10-01,Exploitation agricole ou forestière,Destination,766727,299039
2023-10-01,"Industrie, entrepôts et bureaux",Destination,1320443,1035282
2023-10-01,Équipements publics,Destination,549738,300475
2023-10-01,Bureaux,Sous-destination,334972,256917
2023-10-01,Entrepôts,Sous-destination,683576,423224
2023-10-01,Hôtels,Sous-destination,73604,25757
2023-10-01,Industrie,Sous-destination,355284,263566
2023-11-01,Commerce et services,Destination,540461,286602
2023-11-01,Exploitation agricole ou forestière,Destination,475435,287432
2023-11-01,"Industrie, entrepôts et bureaux",Destination,1243766,1080952
2023-11-01,Équipements publics,Destination,484764,477611
2023-11-01,Bureaux,Sous-destination,291934,259422
2023-11-01,Entrepôts,Sous-destination,657949,639341
2023-11-01,Hôtels,Sous-destination,69318,30877
2023-11-01,Industrie,Sous-destination,307189,213246
2023-12-01,Commerce et services,Destination,579701,236232
2023-12-01,Exploitation agricole ou forestière,Destination,607562,277438
2023-12-01,"Industrie, entrepôts et bureaux",Destination,1480895,722446
2023-12-01,Équipements publics,Destination,416834,271138
2023-12-01,Bureaux,Sous-destination,337698,197173
2023-12-01,Entrepôts,Sous-destination,808307,293177
2023-12-01,Hôtels,Sous-destination,72984,14776
2023-12-01,Industrie,Sous-destination,349003,216524
2024-01-01,Commerce et services,Destination,522899,318472
2024-01-01,Exploitation agricole ou forestière,Destination,480827,255137
2024-01-01,"Industrie, entrepôts et bureaux",Destination,1514529,697161
2024-01-01,Équipements publics,Destination,456230,299158
2024-01-01,Bureaux,Sous-destination,299579,242378
2024-01-01,Entrepôts,Sous-destination,833069,237851
2024-01-01,Hôtels,Sous-destination,44227,49308
2024-01-01,Industrie,Sous-destination,366152,195698
2024-02-01,Commerce et services,Destination,572569,337787
2024-02-01,Exploitation agricole ou forestière,Destination,587597,368933
2024-02-01,"Industrie, entrepôts et bureaux",Destination,1351697,1049989
2024-02-01,Équipements publics,Destination,584017,318501
2024-02-01,Bureaux,Sous-destination,368095,215184
2024-02-01,Entrepôts,Sous-destination,642691,620713
2024-02-01,Hôtels,Sous-destination,124666,35255
2024-02-01,Industrie,Sous-destination,284241,295209
2024-03-01,Commerce et services,Destination,596065,282200
2024-03-01,Exploitation agricole ou forestière,Destination,613954,319262
2024-03-01,"Industrie, entrepôts et bureaux",Destination,1415040,762028
2024-03-01,Équipements publics,Destination,489759,342363
2024-03-01,Bureaux,Sous-destination,377235,245201
2024-03-01,Entrepôts,Sous-destination,603365,323126
2024-03-01,Hôtels,Sous-destination,97433,19595
2024-03-01,Industrie,Sous-destination,324945,157498
2024-04-01,Commerce et services,Destination,557867,257251
2024-04-01,Exploitation agricole ou forestière,Destination,621715,280675
2024-04-01,"Industrie, entrepôts et bureaux",Destination,1237779,656788
2024-04-01,Équipements publics,Destination,494202,317845
2024-04-01,Bureaux,Sous-destination,297508,152671
2024-04-01,Entrepôts,Sous-destination,596571,293710
2024-04-01,Hôtels,Sous-destination,65096,30599
2024-04-01,Industrie,Sous-destination,345053,218959
2024-05-01,Commerce et services,Destination,525313,270484
2024-05-01,Exploitation agricole ou forestière,Destination,587599,257590
2024-05-01,"Industrie, entrepôts et bureaux",Destination,1288635,738320
2024-05-01,Équipements publics,Destination,548557,357448
2024-05-01,Bureaux,Sous-destination,375569,204913
2024-05-01,Entrepôts,Sous-destination,701521,247227
2024-05-01,Hôtels,Sous-destination,91797,33079
2024-05-01,Industrie,Sous-destination,294084,340166
2024-06-01,Commerce et services,Destination,583254,252497
2024-06-01,Exploitation agricole ou forestière,Destination,675253,290105
2024-06-01,"Industrie, entrepôts et bureaux",Destination,1272243,729155
2024-06-01,Équipements publics,Destination,588238,332138
2024-06-01,Bureaux,Sous-destination,332411,197910
2024-06-01,Entrepôts,Sous-destination,577370,318494
2024-06-01,Hôtels,Sous-destination,87609,38351
2024-06-01,Industrie,Sous-destination,322069,187168
2024-07-01,Commerce et services,Destination,607994,370770
2024-07-01,Exploitation agricole ou forestière,Destination,644609,271682
2024-07-01,"Industrie, entrepôts et bureaux",Destination,1366699,801633
2024-07-01,Équipements publics,Destination,548525,354717
2024-07-01,Bureaux,Sous-destination,305428,197307
2024-07-01,Entrepôts,Sous-destination,686749,360887
2024-07-01,Hôtels,Sous-destination,117987,57687
2024-07-01,Industrie,Sous-destination,374452,268975
2024-08-01,Commerce et services,Destination,483784,234022
2024-08-01,Exploitation agricole ou forestière,Destination,568142,256153
2024-08-01,"Industrie, entrepôts et bureaux",Destination,1693221,571070
2024-08-01,Équipements publics,Destination,436986,231709
2024-08-01,Bureaux,Sous-destination,298045,171425
2024-08-01,Entrepôts,Sous-destination,958291,221416
2024-08-01,Hôtels,Sous-destination,96301,12077
2024-08-01,Industrie,Sous-destination,596083,217457
2024-09-01,Commerce et services,Destination,564345,273975
2024-09-01,Exploitation agricole ou forestière,Destination,560531,288336
2024-09-01,"Industrie, entrepôts et bureaux",Destination,1461238,716087
2024-09-01,Équipements publics,Destination,439118,348024
2024-09-01,Bureaux,Sous-destination,337845,168937
2024-09-01,Entrepôts,Sous-destination,673784,253678
2024-09-01,Hôtels,Sous-destination,130078,44518
2024-09-01,Industrie,Sous-destination,455688,292978
2024-10-01,Commerce et services,Destination,505452,283128
2024-10-01,Exploitation agricole ou forestière,Destination,629697,324114
2024-10-01,"Industrie, entrepôts et bureaux",Destination,1425844,793172
2024-10-01,Équipements publics,Destination,457180,316450
2024-10-01,Bureaux,Sous-destination,421294,191949
2024-10-01,Entrepôts,Sous-destination,621530,363511
2024-10-01,Hôtels,Sous-destination,78391,44238
2024-10-01,Industrie,Sous-destination,401348,185334
2024-11-01,Commerce et services,Destination,498019,296354
2024-11-01,Exploitation agricole ou forestière,Destination,707915,189598
2024-11-01,"Industrie, entrepôts et bureaux",Destination,1344211,713160
2024-11-01,Équipements publics,Destination,459096,303947
2024-11-01,Bureaux,Sous-destination,292186,277904
2024-11-01,Entrepôts,Sous-destination,707334,240234
2024-11-01,Hôtels,Sous-destination,74698,43289
2024-11-01,Industrie,Sous-destination,335569,206871
2024-12-01,Commerce et services,Destination,560342,308321
2024-12-01,Exploitation agricole ou forestière,Destination,675483,315757
2024-12-01,"Industrie, entrepôts et bureaux",Destination,2202443,623969
2024-12-01,Équipements publics,Destination,522556,267129
2024-12-01,Bureaux,Sous-destination,269978,164139
2024-12-01,Entrepôts,Sous-destination,830612,358042
2024-12-01,Hôtels,Sous-destination,58450,39621
2024-12-01,Industrie,Sous-destination,1152583,99385
2025-01-01,Commerce et services,Destination,552289,366411
2025-01-01,Exploitation agricole ou forestière,Destination,900143,378680
2025-01-01,"Industrie, entrepôts et bureaux",Destination,1476281,914110
2025-01-01,Équipements publics,Destination,544135,374407
2025-01-01,Bureaux,Sous-destination,313961,216969
2025-01-01,Entrepôts,Sous-destination,674085,420559
2025-01-01,Hôtels,Sous-destination,70341,67254
2025-01-01,Industrie,Sous-destination,450690,245878
2025-02-01,Commerce et services,Destination,542901,284224
2025-02-01,Exploitation agricole ou forestière,Destination,792330,297870
2025-02-01,"Industrie, entrepôts et bureaux",Destination,1608879,723593
2025-02-01,Équipements publics,Destination,502052,293019
2025-02-01,Bureaux,Sous-destination,294735,188209
2025-02-01,Entrepôts,Sous-destination,825542,296976
2025-02-01,Hôtels,Sous-destination,93553,33467
2025-02-01,Industrie,Sous-destination,376035,229673
2025-03-01,Commerce et services,Destination,552516,313317
2025-03-01,Exploitation agricole ou forestière,Destination,586747,268790
2025-03-01,"Industrie, entrepôts et bureaux",Destination,1335151,791012
2025-03-01,Équipements publics,Destination,537774,307053
2025-03-01,Bureaux,Sous-destination,248535,198160
2025-03-01,Entrepôts,Sous-destination,743604,330983
2025-03-01,Hôtels,Sous-destination,77591,29684
2025-03-01,Industrie,Sous-destination,250704,225771
2025-04-01,Commerce et services,Destination,574521,329651
2025-04-01,Exploitation agricole ou forestière,Destination,702958,342082
2025-04-01,"Industrie, entrepôts et bureaux",Destination,1300927,649654
2025-04-01,Équipements publics,Destination,550425,263133
2025-04-01,Bureaux,Sous-destination,326932,163424
2025-04-01,Entrepôts,Sous-destination,591347,318664
2025-04-01,Hôtels,Sous-destination,128846,69270
2025-04-01,Industrie,Sous-destination,404343,168221
2025-05-01,Commerce et services,Destination,520951,279160
2025-05-01,Exploitation agricole ou forestière,Destination,686557,281534
2025-05-01,"Industrie, entrepôts et bureaux",Destination,1227260,773659
2025-05-01,Équipements publics,Destination,472031,278359
2025-05-01,Bureaux,Sous-destination,259818,228119
2025-05-01,Entrepôts,Sous-destination,648116,357887
2025-05-01,Hôtels,Sous-destination,64433,38260
2025-05-01,Industrie,Sous-destination,368808,223700
2025-06-01,Commerce et services,Destination,508463,327784
2025-06-01,Exploitation agricole ou forestière,Destination,736001,325181
2025-06-01,"Industrie, entrepôts et bureaux",Destination,1254812,657152
2025-06-01,Équipements publics,Destination,506110,302100
2025-06-01,Bureaux,Sous-destination,239909,183770
2025-06-01,Entrepôts,Sous-destination,559165,199536
2025-06-01,Hôtels,Sous-destination,63054,57340
2025-06-01,Industrie,Sous-destination,413977,228472
2025-07-01,Commerce et services,Destination,586840,323683
2025-07-01,Exploitation agricole ou forestière,Destination,761357,347153
2025-07-01,"Industrie, entrepôts et bureaux",Destination,1225516,806486
2025-07-01,Équipements publics,Destination,637357,273556
2025-07-01,Bureaux,Sous-destination,295315,193697
2025-07-01,Entrepôts,Sous-destination,590729,475374
2025-07-01,Hôtels,Sous-destination,137065,52978
2025-07-01,Industrie,Sous-destination,326261,186243
2025-08-01,Commerce et services,Destination,564774,273222
2025-08-01,Exploitation agricole ou forestière,Destination,710884,314786
2025-08-01,"Industrie, entrepôts et bureaux",Destination,1155090,782415
2025-08-01,Équipements publics,Destination,557407,292769
2025-08-01,Bureaux,Sous-destination,266057,174370
2025-08-01,Entrepôts,Sous-destination,581041,456532
2025-08-01,Hôtels,Sous-destination,56042,19516
2025-08-01,Industrie,Sous-destination,384125,176570
2025-09-01,Commerce et services,Destination,614444,361588
2025-09-01,Exploitation agricole ou forestière,Destination,681841,408858
2025-09-01,"Industrie, entrepôts et bureaux",Destination,1235493,740255
2025-09-01,Équipements publics,Destination,755268,424177
2025-09-01,Bureaux,Sous-destination,228160,245496
2025-09-01,Entrepôts,Sous-destination,646711,354728
2025-09-01,Hôtels,Sous-destination,71545,41439
2025-09-01,Industrie,Sous-destination,316754,155854
2025-10-01,Commerce et services,Destination,541711,358100
2025-10-01,Exploitation agricole ou forestière,Destination,796132,352806
2025-10-01,"Industrie, entrepôts et bureaux",Destination,1386273,673315
2025-10-01,Équipements publics,Destination,497822,362392
2025-10-01,Bureaux,Sous-destination,251025,145916
2025-10-01,Entrepôts,Sous-destination,630888,290379
2025-10-01,Hôtels,Sous-destination,72635,40611
2025-10-01,Industrie,Sous-destination,527633,203362
2025-11-01,Commerce et services,Destination,555282,339634
2025-11-01,Exploitation agricole ou forestière,Destination,706846,387532
2025-11-01,"Industrie, entrepôts et bureaux",Destination,1190286,711039
2025-11-01,Équipements publics,Destination,475155,322386
2025-11-01,Bureaux,Sous-destination,263554,161333
2025-11-01,Entrepôts,Sous-destination,529594,396865
2025-11-01,Hôtels,Sous-destination,93313,43849
2025-11-01,Industrie,Sous-destination,403941,161672
2025-12-01,Commerce et services,Destination,614145,349590
2025-12-01,Exploitation agricole ou forestière,Destination,689409,287862
2025-12-01,"Industrie, entrepôts et bureaux",Destination,1075305,824047
2025-12-01,Équipements publics,Destination,574194,410879
2025-12-01,Bureaux,Sous-destination,261426,243922
2025-12-01,Entrepôts,Sous-destination,475975,357882
2025-12-01,Hôtels,Sous-destination,142167,51871
2025-12-01,Industrie,Sous-destination,370138,168851
2026-01-01,Commerce et services,Destination,535227,333584
2026-01-01,Exploitation agricole ou forestière,Destination,768350,347215
2026-01-01,"Industrie, entrepôts et bureaux",Destination,1015152,734484
2026-01-01,Équipements publics,Destination,407286,430602
2026-01-01,Bureaux,Sous-destination,268483,175645
2026-01-01,Entrepôts,Sous-destination,482041,312924
2026-01-01,Hôtels,Sous-destination,43082,37782
2026-01-01,Industrie,Sous-destination,247588,197420
2026-02-01,Commerce et services,Destination,607693,282917
2026-02-01,Exploitation agricole ou forestière,Destination,684494,207328
2026-02-01,"Industrie, entrepôts et bureaux",Destination,1451070,666409
2026-02-01,Équipements publics,Destination,455549,334862
2026-02-01,Bureaux,Sous-destination,302101,184533
2026-02-01,Entrepôts,Sous-destination,670964,330649
2026-02-01,Hôtels,Sous-destination,67550,34367
2026-02-01,Industrie,Sous-destination,491632,151831
2026-03-01,Commerce et services,Destination,714561,349041
2026-03-01,Exploitation agricole ou forestière,Destination,802650,375190
2026-03-01,"Industrie, entrepôts et bureaux",Destination,1431017,768967
2026-03-01,Équipements publics,Destination,322457,392026
2026-03-01,Bureaux,Sous-destination,287372,177701
2026-03-01,Entrepôts,Sous-destination,614772,371575
2026-03-01,Hôtels,Sous-destination,82920,37420
2026-03-01,Industrie,Sous-destination,418433,200392
2026-04-01,Commerce et services,Destination,437534,371669
2026-04-01,Exploitation agricole ou forestière,Destination,632526,283433
2026-04-01,"Industrie, entrepôts et bureaux",Destination,1377426,788695
2026-04-01,Équipements publics,Destination,539277,387587
2026-04-01,Bureaux,Sous-destination,271642,223259
2026-04-01,Entrepôts,Sous-destination,695798,390127
2026-04-01,Hôtels,Sous-destination,37202,91169
2026-04-01,Industrie,Sous-destination,457661,203589
2026-05-01,Commerce et services,Destination,522648,277673
2026-05-01,Exploitation agricole ou forestière,Destination,757938,294963
2026-05-01,"Industrie, entrepôts et bureaux",Destination,1131905,656682
2026-05-01,Équipements publics,Destination,255295,257965
2026-05-01,Bureaux,Sous-destination,222699,161410
2026-05-01,Entrepôts,Sous-destination,506890,344685
2026-05-01,Hôtels,Sous-destination,35390,48176
2026-05-01,Industrie,Sous-destination,422969,194637
2026-06-01,Commerce et services,Destination,531107,283893
2026-06-01,Exploitation agricole ou forestière,Destination,612857,388192
2026-06-01,"Industrie, entrepôts et bureaux",Destination,1218463,751191
2026-06-01,Équipements publics,Destination,358173,349906
2026-06-01,Bureaux,Sous-destination,251975,156663
2026-06-01,Entrepôts,Sous-destination,607838,351071
2026-06-01,Hôtels,Sous-destination,104762,32959
2026-06-01,Industrie,Sous-destination,331095,181284
2026-07-01,Commerce et services,Destination,525694,293945
2026-07-01,Exploitation agricole ou forestière,Destination,721793,394102
2026-07-01,"Industrie, entrepôts et bureaux",Destination,1271325,641022
2026-07-01,Équipements publics,Destination,300170,363026
2026-07-01,Bureaux,Sous-destination,248849,149591
2026-07-01,Entrepôts,Sous-destination,566986,348220
2026-07-01,Hôtels,Sous-destination,91258,34992
2026-07-01,Industrie,Sous-destination,445237,203525
